开放汉语拆字字典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本拆字字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［汉字］	［拆字部件］
chui2	〖隹 頁 顀〗〖隹 页 □〗
ding4	〖定 頁 顁〗〖定 页 □〗
lai4	〖來 頁 顂〗〖来 页 □〗
yan2	〖炎 頁 顃〗〖炎 页 □〗
han4	〖函 頁 顄〗〖函 页 □〗
jian1	〖肩 頁 顅〗〖肩 页 □〗
ke1	〖果 頁 顆〗〖果 页 颗〗
cui4	〖卒 頁 顇〗
jiong3	〖匕 糸 頁 顈〗〖匕 糸 页 □〗
qin1, han4	〖金 頁 顉〗〖金 页 □〗〖钅 页 □〗
yi2	〖阜 頁 顊〗〖阜 页 □〗
sai1	〖思 頁 顋〗〖思 页 □〗
ti2	〖是 頁 題〗〖是 页 题〗
e2	〖客 頁 額〗〖客 页 额〗
e4	〖咢 頁 顎〗〖咢 页 颚〗
yan2	〖彦 頁 顏〗〖彦 页 颜〗
hun2, hun4	〖軍 頁 顐〗〖军 页 □〗
kan3	〖咸 頁 顑〗〖咸 页 □〗
yong2	〖禺 頁 顒〗〖禺 页 颙〗
zhuan1	〖耑 頁 顓〗〖耑 页 颛〗
yan2, ya2	〖彥 頁 顔〗〖彦 页 颜〗
xian3	〖显 頁 顕〗〖显 页 □〗
xin4	〖囟 心 頁 顖〗〖丶 囗 乂 囟〗
yi3	〖豈 頁 顗〗〖岂 页 □〗
yuan4	〖原 頁 願〗〖原 心 愿〗
sang3	〖桑 頁 顙〗〖桑 页 颡〗
dian1	〖眞 頁 顚〗〖真 页 颠〗
dian1	〖真 頁 顛〗〖真 页 颠〗
jiang3, jiao4	〖冓 頁 顜〗〖冓 页 □〗
ku1	〖骨 頁 顝〗〖骨 页 □〗
lei4	〖类 頁 類〗〖米 大 类〗
liao2	〖翏 頁 顟〗〖翏 页 □〗
piao4, piao3, piao1	〖票 頁 顠〗〖票 页 □〗
yi4	〖豙 頁 顡〗〖豙 页 □〗
man2, man1	〖廿 冂 丨 入 入 頁 顢〗〖草 两 页 颟〗〖艹 两 页 颟〗〖艹 𬜯 颟〗
qi1, cu4	〖戚 頁 顣〗〖戚 页 □〗
rao4	〖堯 頁 顤〗〖尧 页 □〗
hao4	〖景 頁 顥〗〖景 页 颢〗
qiao2	〖焦 頁 顦〗〖焦 页 □〗
gu4	〖雇 頁 顧〗〖厄 页 顾〗
xun4	〖頁 頁 丌 顨〗〖页 页 丌 □〗
qian1, qin1, yan3	〖僉 頁 顩〗〖佥 页 □〗
hui1, hui4	〖歲 頁 顪〗〖岁 页 □〗
chan4, zhan4	〖亶 頁 顫〗〖亶 页 颤〗
ru2	〖需 頁 顬〗〖需 页 颥〗
hong1	〖夢 頁 顭〗〖梦 页 □〗
bin1	〖賓 頁 顮〗〖宾 页 □〗
xian3	〖日 幺 幺 火 頁 顯〗〖日 业 显〗
pin2	〖頻 卑 顰〗〖频 卑 颦〗
lu2	〖盧 頁 顱〗〖卢 页 颅〗
lan3	〖炎 亠 回 頁 顲〗〖炎 亠 回 页 □〗
nie4	〖聶 頁 顳〗〖聂 页 颞〗
quan2	〖雚 頁 顴〗〖雚 页 颧〗
feng1	〖几 一 蟲 風〗〖几 乂 风〗
biao1, diu1	〖風 彡 颩〗〖风 彡 □〗
fu2	〖風 夫 颫〗〖风 夫 □〗
xia1	〖風 牙 颬〗〖风 牙 □〗
zhan3	〖風 占 颭〗〖风 占 飐〗
biao1, pao2	〖風 包 颮〗〖风 包 飑〗
sa4	〖立 風 颯〗〖立 风 飒〗
ba2	〖風 犮 颰〗〖风 犮 □〗
tai2	〖風 台 颱〗〖厶 口 台〗
lie4	〖風 列 颲〗〖风 列 □〗
gua1	〖風 舌 颳〗〖舌 刀 刮〗〖舌 刂 刮〗
xuan4	〖風 𠂉 疋 颴〗〖风 𠂉 疋 □〗
shao4	〖風 肖 颵〗〖风 肖 □〗
ju4	〖風 具 颶〗〖风 具 飓〗
bi1	〖風 炎 颷〗〖风 炎 □〗
si1	〖風 思 颸〗〖风 思 飔〗
wei3	〖風 韋 颹〗〖风 韦 □〗
yang2	〖風 昜 颺〗〖风 弓 丿 丿 飏〗
yao2	〖月 缶 風 颻〗〖爪 缶 风 飖〗〖爫 缶 风 飖〗
sou1	〖風 叟 颼〗〖风 叟 飕〗
kai3	〖豈 風 颽〗〖岂 风 □〗
sao1	〖風 蚤 颾〗〖风 蚤 □〗
fan2, fan1, fan4	〖馬 風 颿〗〖马 风 □〗
liu2	〖風 留 飀〗〖风 留 飗〗
xi2	〖習 風 飁〗〖习 风 □〗
liao2, liu2, liu4	〖風 翏 飂〗〖风 翏 □〗
piao1	〖風 票 飃〗〖风 票 □〗
piao1	〖票 風 飄〗〖票 风 飘〗
liu2	〖風 畱 飅〗〖风 畱 □〗
biao1	〖猋 風 飆〗〖猋 风 飙〗〖犬 犬 犬 风 飙〗
biao1	〖風 猋 飇〗〖风 猋 飚〗
biao3, biao1	〖風 焱 飈〗〖风 焱 □〗
liao2	〖風 尞 飉〗〖风 尞 □〗
se4	〖風 瑟 飋〗〖风 瑟 □〗
feng1	〖雚 風 飌〗〖雚 风 □〗
fei1	〖飞 升 飞 飛〗〖□ □ 飞〗
fan1	〖番 飛 飜〗
shi2	〖人 良 食〗
shi2	〖人 良 飠〗
can1, sun1	〖冰 食 飡〗〖冫 食 飡〗
ji1	〖食 几 飢〗〖食 几 饥〗〖饣 几 饥〗
ding4	〖食 丁 飣〗〖饣 丁 饤〗
si4	〖食 人 飤〗〖食 人 □〗
tuo1	〖食 乇 飥〗〖饣 乇 饦〗
zhan1	〖食 干 飦〗〖食 干 □〗
sun1	〖夕 食 飧〗〖夕 食 □〗
tun2	〖食 屯 飩〗〖食 屯 饨〗〖饣 屯 饨〗
ren4	〖食 壬 飪〗〖食 壬 饪〗〖饣 壬 饪〗
yu4	〖食 夭 飫〗〖饣 夭 饫〗
juan4, yang3	〖丷 夫 良 飬〗
chi4, shi4	〖食 𠂉 力 飭〗〖饣 𠂉 力 饬〗
yin3	〖食 欠 飮〗〖食 欠 □〗
fan4	〖食 反 飯〗〖食 反 饭〗〖饣 反 饭〗
fan4	〖食 卞 飰〗〖食 卞 □〗
sun1	〖歹 食 飱〗〖歹 食 □〗
yin3	〖食 欠 飲〗〖食 欠 饮〗〖饣 欠 饮〗
zhu4	〖食 主 飳〗〖食 主 □〗
yi2	〖食 台 飴〗〖食 台 饴〗〖饣 台 饴〗
zhai3, zuo4	〖食 乍 飵〗〖食 乍 □〗
bi4	〖食 必 飶〗〖食 必 □〗
jie3	〖食 且 飷〗〖食 且 □〗
tao1	〖号 食 飸〗
liu3	〖食 卯 飹〗〖食 卯 □〗
ci2	〖此 食 飺〗
tie4	〖食 人 彡 飻〗〖食 人 彡 □〗
si4	〖食 司 飼〗〖食 司 饲〗〖饣 司 饲〗
bao3	〖食 包 飽〗〖食 包 饱〗〖饣 包 饱〗
shi4	〖食 𠂉 巾 飾〗〖食 𠂉 巾 饰〗〖饣 𠂉 巾 饰〗〖食 布 饰〗
duo4	〖食 出 飿〗〖饣 出 饳〗
hai4	〖食 艾 餀〗
ren4	〖食 任 餁〗〖食 任 □〗
tian3	〖食 舌 餂〗〖食 舌 □〗
jiao3	〖食 交 餃〗〖食 交 饺〗〖饣 交 饺〗
he2	〖食 合 餄〗〖食 合 饸〗〖饣 合 饸〗
bing3	〖食 并 餅〗〖食 并 饼〗〖饣 并 饼〗
yao2	〖食 兆 餆〗〖食 兆 □〗
tong2	〖食 同 餇〗〖食 同 □〗
ci2, zi1	〖次 食 餈〗
xiang3	〖食 向 餉〗〖食 向 饷〗〖饣 向 饷〗
yang3	〖羊 食 養〗〖羊 介 养〗〖羊 乀 丿 丨 养〗
yang3	〖丷 夫 食 餋〗〖丷 夫 食 □〗
er3	〖食 耳 餌〗〖食 耳 饵〗〖饣 耳 饵〗
le5	〖食 各 餎〗〖食 各 饹〗〖饣 各 饹〗
yi1	〖食 衣 餏〗〖饣 衣 饻〗
can1	〖歹 又 食 餐〗〖歺 又 食 餐〗
bo1, bo2	〖食 孛 餑〗〖饣 孛 饽〗
nei3	〖食 妥 餒〗〖食 妥 馁〗〖饣 妥 馁〗
e4	〖食 我 餓〗〖食 我 饿〗〖饣 我 饿〗
bu1, bu3	〖食 甫 餔〗〖食 甫 □〗
jun4	〖食 夋 餕〗〖饣 夋 馂〗
dou4	〖食 豆 餖〗〖饣 豆 饾〗
su4	〖食 束 餗〗〖食 束 □〗
yu2	〖食 余 餘〗〖人 于 八 余〗
yu2	〖食 余 餘〗〖饣 余 馀〗
shi4	〖食 希 餙〗〖食 希 □〗
yao2	〖食 肴 餚〗〖乂 有 肴〗〖乂 一 丿 肉 肴〗〖乂 一 丿 月 肴〗
hun2	〖食 昆 餛〗〖食 昆 馄〗〖饣 昆 馄〗
guo3	〖食 果 餜〗〖饣 果 馃〗
shi4	〖食 芳 餝〗〖食 芳 □〗
jian4	〖食 戔 餞〗〖食 戋 饯〗〖饣 戋 饯〗
zhui4	〖食 叕 餟〗〖食 叕 □〗
bing3	〖食 并 餠〗〖饣 并 饼〗
xian4	〖食 臽 餡〗〖食 臽 馅〗〖饣 臽 馅〗
bu4	〖食 咅 餢〗〖食 咅 □〗
ye4	〖食 奄 餣〗〖食 奄 □〗
tan2, dan4	〖食 炎 餤〗〖食 炎 □〗
fei3	〖非 食 餥〗
zhang1	〖食 長 餦〗〖食 长 □〗
wei4, nei3	〖食 委 餧〗〖食 委 □〗
guan3	〖食 官 館〗〖食 官 馆〗〖饣 官 馆〗
e4	〖食 八 亥 餩〗〖食 八 亥 □〗
nuan3	〖食 耎 餪〗〖食 耎 □〗
hun2, yun4	〖食 軍 餫〗〖食 军 □〗
hu2	〖食 胡 餬〗〖米 胡 糊〗
huang2	〖食 皇 餭〗〖食 皇 □〗
tie4	〖殄 食 餮〗
hui4	〖食 彖 餯〗〖食 彖 □〗
jian1, zhan1	〖食 衍 餰〗〖食 衍 □〗
hou2	〖食 侯 餱〗〖食 侯 □〗
he2, ai4	〖食 曷 餲〗〖食 曷 □〗
xing2, tang2	〖食 昜 餳〗〖饣 弓 丿 丿 饧〗
fen1	〖食 奔 餴〗〖食 奔 □〗
wei4	〖食 畏 餵〗〖口 畏 喂〗
gu3	〖食 骨 餶〗〖饣 骨 馉〗
cha1	〖食 查 餷〗〖饣 查 馇〗
song4	〖食 送 餸〗〖食 送 □〗〖饣 送 □〗
tang2	〖食 唐 餹〗〖食 唐 □〗
bo2	〖食 尃 餺〗〖饣 尃 馎〗
gao1	〖食 羔 餻〗〖米 羔 糕〗
xi4	〖食 氣 餼〗〖食 气 饩〗〖饣 气 饩〗
kui4	〖食 鬼 餽〗〖食 鬼 □〗
liu2	〖食 留 餾〗〖食 留 馏〗〖饣 留 馏〗
sou1	〖食 叟 餿〗〖食 叟 馊〗〖饣 叟 馊〗
tao2	〖食 舀 饀〗〖食 舀 □〗
ye4	〖食 盍 饁〗〖饣 盍 馌〗
yun2	〖食 昷 饂〗〖食 昷 □〗
mo2	〖食 莫 饃〗〖食 莫 馍〗〖饣 莫 馍〗
tang2	〖食 堂 饄〗〖食 堂 □〗
man2	〖食 曼 饅〗〖食 曼 馒〗〖饣 曼 馒〗
bi4	〖食 畢 饆〗〖食 毕 □〗
yu4	〖食 區 饇〗〖食 区 □〗
xiu1	〖食 羞 饈〗〖饣 羞 馐〗
jin3	〖食 堇 饉〗〖饣 堇 馑〗
san3	〖食 散 饊〗〖饣 散 馓〗
kui4	〖食 貴 饋〗〖食 贵 馈〗〖饣 贵 馈〗
zhuan4	〖食 巽 饌〗〖食 巽 馔〗〖饣 巽 馔〗
shan4	〖食 善 饍〗〖食 善 □〗
chi4, xi1	〖食 喜 饎〗〖食 喜 □〗
dan4	〖敢 食 饏〗
yi4	〖食 壹 饐〗〖食 壹 □〗
ji1, qi2	〖食 幾 饑〗〖饣 几 饥〗
rao2	〖食 堯 饒〗〖食 尧 饶〗〖饣 尧 饶〗
cheng1	〖食 棠 饓〗〖食 棠 □〗
yong1	〖雍 食 饔〗〖雍 食 □〗
tao1	〖號 食 饕〗
hui4	〖食 歲 饖〗〖食 岁 □〗
xiang3	〖鄉 食 饗〗〖食 乡 飨〗
zhan1	〖食 亶 饘〗〖食 亶 □〗
fen1	〖食 賁 饙〗〖食 贲 □〗
hai4	〖食 蓋 饚〗
meng2	〖食 蒙 饛〗〖食 蒙 □〗
yan4	〖厭 食 饜〗〖厌 食 餍〗
mo2	〖食 磨 饝〗〖食 磨 □〗
chan2	〖食 毚 饞〗〖食 免 冫 馋〗〖饣 免 冫 馋〗
xiang3	〖食 襄 饟〗〖食 襄 □〗
luo2	〖食 羅 饠〗〖食 罗 □〗
zuan4, zan4	〖食 贊 饡〗〖食 赞 □〗
nang3, nang2	〖食 囊 饢〗〖饣 囊 馕〗
shou3	〖丷 一 丶 目 首〗
kui2	〖九 首 馗〗
guo2, xu4	〖首 或 馘〗
xiang1	〖禾 日 香〗
fen2	〖香 分 馚〗
ba2	〖香 犮 馛〗
ni3	〖香 尼 馜〗
bi4	〖香 必 馝〗
bo2	〖香 孛 馞〗
tu2	〖香 孚 馟〗
han1	〖香 含 馠〗
fei1	〖香 非 馡〗
jian1	〖香 戔 馢〗〖香 戋 □〗
an1	〖香 奄 馣〗
ai3	〖香 曷 馤〗
fu4	〖香 复 馥〗
xian1	〖香 兼 馦〗
wen1	〖香 昷 馧〗
xin1	〖声 殳 香 馨〗〖殸 香 馨〗
fen2	〖香 賁 馩〗〖香 贲 □〗
bin1	〖香 賓 馪〗〖香 宾 □〗
xing1	〖香 香 香 馫〗
yu4	〖馬 又 馭〗〖马 又 驭〗
feng2	〖冰 馬 馮〗〖冰 马 冯〗〖冫 马 冯〗
han4, han2	〖馬 干 馯〗
di4	〖馬 勺 馰〗〖马 勺 □〗
duo4, tuo2	〖馬 大 馱〗〖马 大 驮〗
tuo1	〖馬 乇 馲〗〖马 乇 □〗
chi2	〖馬 也 馳〗〖马 也 驰〗
xun4	〖馬 川 馴〗〖马 川 驯〗
zhu4	〖馬 廾 馵〗〖马 廾 □〗
zhi1	〖馬 支 馶〗〖马 支 □〗
pei4	〖馬 巿 馷〗〖马 巿 □〗
xin4	〖馬 斤 馸〗〖马 斤 □〗
ri4	〖馬 日 馹〗〖马 日 驲〗
sa4	〖馬 及 馺〗〖马 及 □〗
yin3	〖馬 允 馻〗〖马 允 □〗
wen2	〖馬 文 馼〗〖马 文 □〗
zhi2	〖馬 中 馽〗〖马 中 □〗
dan4	〖馬 冘 馾〗
lü2	〖馬 戶 馿〗〖马 户 □〗
you2	〖馬 尤 駀〗〖马 尤 □〗
bo2	〖馬 爻 駁〗〖马 爻 驳〗
bao3	〖馬 匕 十 駂〗〖马 匕 十 □〗
kuai4, jue2	〖馬 夬 駃〗〖马 夬 □〗
tuo2	〖馬 太 駄〗〖马 太 □〗
yi4	〖馬 尺 駅〗〖马 尺 □〗
qu1	〖馬 区 駆〗〖马 区 驱〗
qu1	〖馬 丘 駈〗〖马 丘 □〗
jiong1	〖馬 冋 駉〗〖马 冋 □〗
bo3, po3	〖馬 皮 駊〗〖马 皮 □〗
zhao1	〖馬 召 駋〗〖马 召 □〗
yuan1	〖夗 馬 駌〗〖夗 马 □〗
peng1	〖馬 平 駍〗〖马 平 □〗
zhou4	〖馬 由 駎〗〖马 由 □〗
ju4	〖馬 巨 駏〗〖马 巨 □〗
zhu4	〖馬 主 駐〗〖马 主 驻〗
nu2	〖奴 馬 駑〗〖奴 马 驽〗
ju1	〖馬 句 駒〗〖马 句 驹〗
pi1, pi2	〖馬 丕 駓〗〖马 丕 □〗
zang3, zu3, zu4	〖馬 且 駔〗〖马 且 驵〗
jia4	〖加 馬 駕〗〖加 马 驾〗
ling2	〖馬 令 駖〗〖马 令 □〗
zhen1	〖馬 人 彡 駗〗〖马 人 彡 □〗
tai2, dai4, zhai4, tai1	〖馬 台 駘〗〖马 台 骀〗
fu4	〖馬 付 駙〗〖马 付 驸〗
yang3	〖馬 央 駚〗〖马 央 □〗
shi3	〖馬 史 駛〗〖马 史 驶〗
bi4	〖馬 必 駜〗〖马 必 □〗
tuo2	〖馬 它 駝〗〖马 它 驼〗
tuo2	〖馬 㐌 駞〗〖马 㐌 □〗
si4	〖馬 四 駟〗〖马 四 驷〗
liu2	〖馬 卯 駠〗〖马 卯 □〗
ma4	〖口 口 馬 駡〗〖口 口 马 骂〗
pian2	〖馬 并 駢〗〖马 并 骈〗
tao2	〖馬 兆 駣〗〖马 兆 □〗
zhi4	〖馬 至 駤〗〖马 至 □〗
rong2, xue4	〖馬 戎 駥〗〖马 戎 □〗
teng2	〖丷 夫 馬 駦〗
dong4	〖馬 同 駧〗
xun2	〖馬 旬 駨〗〖马 旬 □〗
quan2	〖馬 全 駩〗〖马 全 □〗
shen1	〖馬 先 駪〗〖马 先 □〗
jiong1	〖馬 光 駫〗〖马 光 □〗
er3	〖馬 耳 駬〗〖马 耳 □〗
hai4	〖馬 亥 駭〗〖马 亥 骇〗
bo2	〖馬 交 駮〗〖马 交 □〗
yin1	〖馬 因 駰〗〖马 因 骃〗
luo4	〖馬 各 駱〗〖马 各 骆〗
dan4	〖馬 延 駳〗
xie4	〖馬 戒 駴〗〖马 戒 □〗
liu2	〖馬 丣 駵〗〖马 丣 □〗
ju2	〖馬 局 駶〗〖马 局 □〗
song3	〖馬 束 駷〗〖马 束 □〗
qin1	〖馬 彐 冖 又 駸〗〖马 彐 冖 又 骎〗
mang2	〖馬 尨 駹〗〖马 尨 □〗
liang2	〖馬 良 駺〗〖马 良 □〗
han4	〖馬 旱 駻〗〖马 旱 □〗
tu2	〖馬 余 駼〗〖马 余 □〗
xuan4, xuan1	〖馬 肙 駽〗〖马 肙 □〗
tui4	〖馬 兌 駾〗〖马 兑 □〗
jun4	〖馬 夋 駿〗〖马 夋 骏〗
e2, e3	〖馬 我 騀〗〖马 我 □〗
cheng3	〖馬 甹 騁〗〖马 甹 骋〗〖马 由 丂 骋〗
xin1, xing1	〖馬 辛 騂〗〖马 辛 骍〗
ai2, dai1	〖馬 矣 騃〗〖马 矣 □〗
lu4	〖馬 彔 騄〗〖马 录 □〗
zhui1	〖馬 隹 騅〗〖马 隹 骓〗
zhou1	〖馬 周 騆〗〖马 周 □〗
she3, she4	〖馬 舍 騇〗〖马 舍 □〗
pian2	〖馬 幷 騈〗〖马 并 骈〗
kun1	〖馬 昆 騉〗〖马 昆 □〗
tao2	〖馬 匋 騊〗〖马 匋 □〗
lai2	〖馬 來 騋〗〖马 来 □〗
zong1	〖馬 宗 騌〗〖马 宗 骔〗
ke4	〖馬 果 騍〗〖马 果 骒〗
qi2	〖馬 奇 騎〗〖马 奇 骑〗
qi2	〖馬 其 騏〗〖马 其 骐〗
yan4	〖馬 念 騐〗〖马 念 □〗
sao1	〖馬 又 蟲 騒〗〖马 又 虫 □〗
yan3	〖馬 人 一 口 人 験〗〖马 佥 验〗
jie2	〖馬 曷 騔〗〖马 曷 □〗
yao3	〖馬 要 騕〗〖马 要 □〗
wu4	〖敄 馬 騖〗〖敄 马 骛〗
pian4	〖扁 馬 騗〗〖扁 马 □〗
cong1	〖馬 怱 騘〗〖马 怱 □〗
pian4	〖馬 扁 騙〗〖马 扁 骗〗
qian2	〖馬 前 騚〗〖马 前 □〗
huang2	〖馬 皇 騜〗〖马 皇 □〗
jian1	〖馬 建 騝〗〖马 建 □〗
huo4, huo1	〖馬 砉 騞〗〖马 砉 □〗
yu4	〖馬 俞 騟〗〖马 俞 □〗
ti2	〖馬 是 騠〗〖马 是 □〗
quan2	〖馬 泉 騡〗〖马 泉 □〗
xia2	〖馬 叚 騢〗〖马 叚 □〗
zong1	〖馬 凶 八 夕 騣〗〖马 凶 八 夕 □〗〖马 凶 八 夂 □〗
kui2	〖馬 癸 騤〗〖马 癸 骙〗
rou2	〖馬 柔 騥〗〖马 柔 □〗
si1	〖馬 思 騦〗〖马 思 □〗
gua1	〖馬 咼 騧〗〖马 呙 □〗
tuo2	〖馬 单 丶 騨〗〖马 单 丶 □〗
kui4, gui1	〖馬 鬼 騩〗〖马 鬼 □〗
sou1	〖馬 叟 騪〗〖马 叟 □〗
qian1	〖馬 宀 井 大 騫〗〖马 宀 井 大 骞〗
cheng2	〖馬 乘 騬〗〖马 乘 □〗
zhi4	〖陟 馬 騭〗〖陟 马 骘〗
liu2	〖馬 留 騮〗〖马 留 骝〗
pang2	〖馬 旁 騯〗〖马 旁 □〗
teng2	〖肉 駦 騰〗〖肉 丷 夫 马 腾〗〖月 丷 夫 马 腾〗
xi1	〖馬 奚 騱〗〖马 奚 □〗
cao3	〖馬 草 騲〗〖马 草 □〗
yan4	〖馬 妟 騴〗〖马 妟 □〗
yuan2	〖馬 原 騵〗〖马 原 □〗
zou1, zhou4, zhu1, qu1	〖馬 芻 騶〗〖马 刍 驺〗
sao1	〖馬 蚤 騷〗〖马 蚤 骚〗
shan4	〖馬 扇 騸〗〖马 扇 骟〗
li2, qi2	〖馬 堇 騹〗〖马 堇 □〗
zhi4	〖執 馬 騺〗〖执 马 □〗
shuang3, shuang1	〖馬 爽 騻〗〖马 爽 □〗
lu4	〖馬 鹿 騼〗〖马 鹿 □〗
xi2	〖馬 習 騽〗〖马 习 □〗
luo2	〖馬 累 騾〗〖马 累 骡〗
zhang1	〖馬 章 騿〗〖马 章 □〗
mo4	〖莫 馬 驀〗〖莫 马 蓦〗
ao4, ao2	〖敖 馬 驁〗〖敖 马 骜〗
can1	〖馬 參 驂〗〖马 参 骖〗
piao4, biao1	〖馬 票 驃〗〖马 票 骠〗
cong1	〖馬 悤 驄〗〖马 悤 骢〗
qu1	〖馬 區 驅〗〖马 区 驱〗
bi4	〖馬 畢 驆〗〖马 毕 □〗
zhi4	〖埶 馬 驇〗〖执 马 □〗
yu4	〖馬 矞 驈〗〖马 矞 □〗
xu1	〖馬 虛 驉〗〖马 虚 □〗
hua2	〖馬 華 驊〗〖马 华 骅〗
bo1	〖馬 發 驋〗〖马 发 □〗
su4	〖馬 肅 驌〗〖马 肃 骕〗
xiao1	〖馬 堯 驍〗〖马 尧 骁〗
lin2	〖馬 粦 驎〗〖马 粦 □〗
chan3, zhan4	〖馬 孱 驏〗〖马 孱 骣〗
dun1	〖馬 敦 驐〗〖马 敦 □〗
liu2	〖馬 畱 驑〗〖马 畱 □〗
tuo2	〖馬 單 驒〗〖马 单 □〗
zeng1	〖馬 曾 驓〗〖马 曾 □〗
tan2, dian4	〖馬 覃 驔〗〖马 覃 □〗
jiao1	〖馬 喬 驕〗〖马 乔 骄〗
tie3	〖馬 哉 王 驖〗〖马 哉 王 □〗
yan4	〖馬 僉 驗〗〖马 佥 验〗
luo2	〖亡 口 月 馬 凡 驘〗〖亡 口 月 马 凡 □〗
zhan1	〖馬 亶 驙〗〖马 亶 □〗
jing1	〖馬 敬 驚〗〖心 京 惊〗〖忄 京 惊〗
yi4	〖馬 睪 驛〗〖马 又 二 丨 驿〗
ye4	〖馬 業 驜〗〖马 业 □〗
tuo1	〖馬 槖 驝〗〖马 槖 □〗
bin1	〖馬 賓 驞〗〖马 宾 □〗
zhou4, zou4	〖馬 聚 驟〗〖马 聚 骤〗
yan4	〖馬 燕 驠〗〖马 燕 □〗
peng2	〖龍 馬 驡〗〖龙 马 □〗
lü2	〖馬 盧 驢〗〖马 户 驴〗
teng2	〖馬 駦 驣〗〖马 丷 夫 马 □〗
xiang1	〖馬 襄 驤〗〖马 襄 骧〗
ji4	〖馬 冀 驥〗〖马 冀 骥〗
shuang1	〖馬 霜 驦〗〖马 霜 骦〗
ju2	〖馬 鞠 驧〗〖马 鞠 □〗
xi1	〖馬 巂 驨〗〖马 巂 □〗
huan1	〖馬 雚 驩〗〖马 雚 □〗
li2, chi2	〖馬 麗 驪〗〖马 丽 骊〗
biao1	〖馬 馬 馬 驫〗〖马 马 马 骉〗
wei3	〖骨 九 骩〗
wei3	〖骨 凡 骪〗
wei3	〖骨 丸 骫〗
yu2	〖骨 于 骬〗
gan4	〖骨 干 骭〗
yi4	〖骨 戈 骮〗
ang1	〖骨 亢 骯〗〖月 亢 肮〗〖肉 亢 肮〗
tou2, shai3	〖骨 殳 骰〗
xie4, ga4, jie4, jia2	〖骨 介 骱〗
bao1	〖骨 包 骲〗
bi4, bei4	〖骨 皮 骳〗
chi1, ci1	〖骨 此 骴〗
ti3, ti1	〖骨 本 骵〗
di3	〖骨 氐 骶〗
ku1	〖骨 古 骷〗
hai2	〖骨 亥 骸〗
qiao1, xiao1	〖骨 交 骹〗
gou4, hou2	〖骨 后 骺〗
kua4	〖骨 夸 骻〗
ge2	〖骨 各 骼〗
tui3	〖骨 妥 骽〗
geng3	〖骨 更 骾〗
pian2	〖骨 并 骿〗
bi4	〖骨 卑 髀〗
ke1, kua4	〖骨 果 髁〗
ka4, qia4, ge2	〖骨 客 髂〗
yu2	〖骨 禺 髃〗
sui3	〖骨 迶 髄〗
bo2	〖骨 尃 髆〗
xiao1	〖骨 高 髇〗
pang2, bang3	〖骨 旁 髈〗
bo1	〖骨 隺 髉〗
ci1	〖骨 差 髊〗
mo2	〖骨 麻 髍〗
liao2	〖骨 翏 髎〗
lou2	〖骨 婁 髏〗〖骨 娄 髅〗
nao2, xiao1	〖骨 堯 髐〗〖骨 尧 □〗
du2	〖骨 蜀 髑〗〖骨 蜀 □〗
zang1	〖骨 葬 髒〗〖肉 庄 脏〗〖月 庄 脏〗
sui3	〖骨 遀 髓〗
ti3	〖骨 豊 體〗〖人 本 体〗〖亻 本 体〗
bin4	〖骨 賓 髕〗〖骨 宾 髌〗
kuan1	〖骨 寬 髖〗〖骨 宽 髋〗
lu2	〖骨 盧 髗〗〖骨 卢 □〗
gao1	〖亠 口 冋 高〗
gao1	〖亠 丨 一 一 丨 冋 髙〗
qiao4	〖高 亢 髚〗
kao1	〖高 尻 髛〗
qiao1	〖高 昇 髜〗
lao4	〖高 勞 髝〗〖高 劳 □〗
zao4	〖高 喿 髞〗
biao1, shan1, piao4	〖镸 彡 髟〗
kun1	〖髟 几 髠〗
kun1	〖髟 兀 髡〗
ti4, di2, di4	〖髟 也 髢〗
fang3	〖髟 方 髣〗
xiu1	〖髟 木 髤〗
ran2	〖髟 冄 髥〗
mao2	〖髟 毛 髦〗
dan4	〖髟 冘 髧〗
kun1	〖髟 元 髨〗
bin4	〖髟 丏 髩〗
fa4	〖髟 友 髪〗
tiao2	〖髟 召 髫〗
pi1	〖髟 丕 髬〗
zi1	〖髟 此 髭〗
fa4, fa3	〖髟 犮 髮〗〖丿 犮 发〗〖丿 友 丶 发〗〖丿 一 丿 又 丶 发〗
ran2	〖髟 冉 髯〗
ti4	〖髟 髟 世 髰〗
pao4	〖髟 包 髱〗
pi1, bi4	〖髟 皮 髲〗
mao2	〖髟 矛 髳〗
fu2, fei4	〖髟 弗 髴〗
er2	〖髟 而 髵〗
rong2	〖髟 耳 髶〗
qu1	〖髟 曲 髷〗
xiu1	〖髟 休 髹〗
gua4, kuo4	〖髟 舌 髺〗
ji4	〖髟 吉 髻〗
peng2	〖髟 夆 髼〗
zhua1	〖髟 坐 髽〗
shao1	〖髟 肖 髾〗
sha1, suo1	〖髟 沙 髿〗
ti4	〖髟 弟 鬀〗
li4	〖髟 利 鬁〗
bin4	〖髟 兵 鬂〗
zong1	〖髟 宗 鬃〗
ti4, di2, di4	〖髟 易 鬄〗
peng2	〖髟 朋 鬅〗
song1	〖髟 松 鬆〗〖木 公 松〗
zheng1	〖髟 争 鬇〗
quan2	〖髟 卷 鬈〗
zong1	〖髟 凶 八 夕 鬉〗〖髟 凶 八 夂 鬉〗
