开放汉语拆字字典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本拆字字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［汉字］	［拆字部件］
liang4	〖亠 口 冖 儿 亮〗
xiang3	〖亠 口 日 亯〗
jing1	〖亠 日 小 亰〗
ye4	〖亠 但 亱〗
bo2	〖亠 口 冂 乇 亳〗
you4	〖亠 口 冂 土 九 亴〗
dan3, dan4	〖亠 回 旦 亶〗
lian2	〖亠 兼 丿 亷〗
wei3, men2	〖亠 舋 亹〗
ren2	〖丿 乀 人〗
ren2	〖丿 丨 亻〗
ji2	〖人 一 亼〗
wang2, wu2	〖丨 一 人 亾〗
shen2, she2, shi2	〖人 十 什〗〖亻 十 什〗
ren2	〖人 二 仁〗〖亻 二 仁〗
le4	〖人 力 仂〗〖亻 力 仂〗
ding1	〖人 丁 仃〗〖亻 丁 仃〗
ze4	〖厂 人 仄〗
pu1	〖人 卜 仆〗〖亻 卜 仆〗
chou2, qiu2	〖人 九 仇〗〖亻 九 仇〗
ba1	〖人 八 仈〗〖亻 八 仈〗
zhang3	〖人 几 仉〗〖亻 几 仉〗
jin1	〖人 丶 乛 今〗
jie4	〖人 丿 丨 介〗
bing1	〖人 人 仌〗
reng2	〖人 乃 仍〗〖亻 乃 仍〗
fo2	〖人 厶 仏〗〖亻 厶 仏〗
san3	〖人 十 仐〗
bing1	〖人 冰 仒〗〖人 冫 仒〗〖人 丶 丶 仒〗
zi3, zai3	〖人 子 仔〗〖亻 子 仔〗
shi4	〖人 士 仕〗〖亻 士 仕〗
ta1	〖人 也 他〗〖亻 也 他〗
zhang4	〖人 丈 仗〗〖亻 丈 仗〗
fu4	〖人 寸 付〗〖亻 寸 付〗
xian1	〖人 山 仙〗〖亻 山 仙〗
xian1	〖人 山 仚〗
tuo1	〖人 乇 仛〗〖亻 乇 仛〗
hong2	〖人 工 仜〗〖亻 工 仜〗
tong2	〖人 工 仝〗〖冂 一 口 同〗
ren4	〖人 刃 仞〗〖亻 刃 仞〗
qian1	〖人 千 仟〗〖亻 千 仟〗
gan2	〖人 干 仠〗〖亻 干 仠〗
ge1	〖人 乞 仡〗〖亻 乞 仡〗
di2	〖人 勺 仢〗〖亻 勺 仢〗
dai4	〖人 弋 代〗〖亻 弋 代〗
ling4	〖人 一 卩 令〗
yi3	〖□ 丶 人 以〗
chao4	〖人 小 仦〗〖亻 小 仦〗
chang2, zhang3	〖上 人 仧〗
sa1	〖人 三 仨〗〖亻 三 仨〗
mu4	〖人 么 仫〗〖亻 么 仫〗
ren4	〖人 刄 仭〗〖亻 刄 仭〗
jia3, fan3	〖人 反 仮〗〖亻 反 仮〗
chao4	〖人 少 仯〗〖亻 少 仯〗
yang3	〖人 卬 仰〗〖亻 卬 仰〗
qian2	〖人 今 仱〗〖亻 今 仱〗
zhong4	〖人 中 仲〗〖亻 中 仲〗
pi3	〖人 比 仳〗〖亻 比 仳〗
wan4	〖人 月 仴〗〖亻 月 仴〗
wu3	〖人 午 仵〗〖亻 午 仵〗
jian4	〖人 牛 件〗〖亻 牛 件〗
yao3	〖人 夭 仸〗〖亻 夭 仸〗
feng1	〖人 丰 仹〗〖亻 丰 仹〗
cang1	〖人 匚 一 仺〗
ren4, ren2	〖人 壬 任〗〖亻 壬 任〗
wang2	〖人 王 仼〗〖亻 王 仼〗
fen4	〖人 分 份〗〖亻 分 份〗
di1	〖人 互 仾〗〖亻 互 仾〗
fang3	〖人 方 仿〗〖亻 方 仿〗
zhong1	〖人 公 伀〗〖亻 公 伀〗
qi3, qi4	〖人 止 企〗
pei4	〖人 巿 伂〗〖亻 巿 伂〗
yu2	〖人 予 伃〗〖亻 予 伃〗
diao4	〖人 弔 伄〗〖亻 弔 伄〗
dun4	〖人 屯 伅〗〖亻 屯 伅〗
wen4	〖人 勿 伆〗〖亻 勿 伆〗
yi4	〖人 殳 伇〗〖亻 殳 伇〗
xin3	〖人 心 伈〗〖亻 心 伈〗
kang4	〖人 亢 伉〗〖亻 亢 伉〗
yi1	〖人 尹 伊〗〖亻 尹 伊〗
ji2	〖人 及 伋〗〖亻 及 伋〗
ai4	〖人 厄 伌〗〖亻 厄 伌〗
wu3	〖人 五 伍〗〖亻 五 伍〗
ji4	〖人 支 伎〗〖亻 支 伎〗
fu2	〖人 犬 伏〗〖亻 犬 伏〗
fa2, fa1	〖人 戈 伐〗〖亻 戈 伐〗
xiu1	〖人 木 休〗〖亻 木 休〗
jin4	〖人 斤 伒〗〖亻 斤 伒〗
bei1	〖人 不 伓〗〖亻 不 伓〗
dan3, shen3	〖人 冗 伔〗〖亻 冗 伔〗
fu1	〖人 夫 伕〗〖亻 夫 伕〗
tang3	〖人 友 伖〗〖亻 友 伖〗
huo3	〖人 火 伙〗〖亻 火 伙〗
cui4	〖人 卆 伜〗〖亻 卆 伜〗
ya2	〖人 牙 伢〗〖亻 牙 伢〗
xun4	〖人 勻 伨〗〖人 匀 伨〗
xin4	〖人 文 伩〗〖亻 文 伩〗
xuan2	〖人 玄 伭〗〖亻 玄 伭〗
nu2	〖人 奴 伮〗〖亻 奴 伮〗
bo2	〖人 白 伯〗〖亻 白 伯〗
gu1	〖人 古 估〗〖亻 古 估〗
ni3	〖人 尒 伱〗〖亻 尒 伱〗
ni3, ni4	〖人 尼 伲〗〖亻 尼 伲〗
